Width,Height,Die #,New Die ID Format,# Per Page,Description,Shape,Corner,# Per Stroke,Strokes Per Page,Image,Prodcut Type,Cutter
4,2,P0038,P0038-P1260,20,Rectangle ( See also P1260 ),Round,Round,10,2,https://media.magnetguys.com/diecut_proof/D__P0038-P1260__4-x-2_P0038-P1260_Round-corner.jpg,Magnets,Preco
4,2,P0039,P0039,20,Rectangle,Square,Square,10,2,https://media.magnetguys.com/diecut_proof/D__P0039__4-x-2_P0039_Square-corner.jpg,Magnets,Preco
4,7,P0040,P0032-P0040,6,Rectangle (See also P0032),Square,Square,3,2,#N/A,Magnets,Preco
3.5,3.5,P0041,P0041,15,Circle,Circle,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P0041__3.5_P0041_Circle.jpg,Magnets,Preco
3.75,5.5,P0042,P0042,9,Rectangle,Square,Square,3,3,#N/A,Magnets,Preco
3,4,P0043,P0043-P1045-P0185,12,Rectangle (See also P0185-P1045),Square,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0043-P1045-P0185__3-x-4_P0043-P1045-P0185_Square-corner.jpg,Magnets,Preco
3,4,P0044,P0044,12,Rectangle,Round,Round,6,2,https://media.magnetguys.com/diecut_proof/D__P0044__3-x-4_P0044_Round-corner.jpg,Magnets,Preco
4.5,5.75,P0045,P0045,6,Rectangle,Round,Round,2,3,#N/A,Magnets,Preco
2.25,4.25,P0046,P0046,-,Custom,Die Cut,NA,3,,#N/A,Magnets,Preco
3.5,5.5,P0047,P0047,9,Rectangle,Round,Round,3,3,#N/A,Magnets,Preco
3.5,3.5,P0048,P0048,12,Custom - House,Shaped,NA,6,2,#N/A,Magnets,Preco
6,7,P0049,P0049,3,Rectangle,Square,Square,1,3,#N/A,Magnets,Preco
6,8,P0050,P0050,3,Rectangle,Square,Square,1,3,#N/A,Magnets,Preco
4.5,10,P0051,P0051,3,Rectangle,Square,Square,1,3,#N/A,Magnets,Preco
2.2918,2.598,P0052,P0052,28,Custom State of Minnesota,Shaped,NA,4,7,#N/A,Magnets,Preco
6,4,P0053,P0053,6,Picture Frame - Circle,Die Cut,Square,3,2,#N/A,Magnets,Preco
5.5,5.5,P0054,P0054,6,Circle,Circle,NA,2,3,#N/A,Magnets,Preco
6,2.14,P0055,P0055,15,Custom Shape - Police Car,Shaped,NA,5,3,https://media.magnetguys.com/diecut_proof/D__P0055__6-x-2.14_P0055_CMD17110207_Police-Car.jpg,Magnets,Preco
6.95,5.69,P0056,P0056,4,Custom Shape - Circle with Ridges,Shaped,NA,2,2,#N/A,Magnets,Preco
5,5,P0057,P0057,9,Custom Shape - Triangle,Shaped,NA,3,3,#N/A,Magnets,Preco
4,5,P0058,P0058,8,Sheild,Shaped,NA,4,2,#N/A,Magnets,Preco
5,5,P0059,P0059-P0130,6,Circle (see also P0130),Circle,NA,2,3,#N/A,Magnets,Preco
2.76,5.06,P0060,P0060,12,Custom Shape - HVAC Guy,Shaped,NA,6,2,#N/A,Magnets,Preco
8,4,P0061,P0061,6,Custom Shape - Merry Christmas,Shaped,NA,3,2,#N/A,Magnets,Preco
5,5.75,P0062,P0062,6,Rectangle,Square,Square,2,3,#N/A,Magnets,Preco
5,5.75,P0063,P0063,6,Rectangle,Round,Round,2,3,#N/A,Magnets,Preco
4.75,3.875,P0064,P0064,8,House,Shaped,NA,4,2,#N/A,Magnets,Preco
2.17,5.6,P0065,P0065,14,Rectangle,Square,Square,2,7,https://media.magnetguys.com/diecut_proof/D__P0065__2.17-x-5.6_P0065_Square-corner.jpg,Magnets,Preco
2.75,1.875,P0066,P0066,30,House,Shaped,NA,15,2,https://media.magnetguys.com/diecut_proof/D__P0066__2.75-x-1.875_P0066_CM212291_House.jpg,Magnets,Preco
2.125,2.625,P0067,P0067,30,Mortar & Pestal,Shaped,NA,15,2,https://media.magnetguys.com/diecut_proof/D__P0067__2.125-x-2.625_P0067_CMD17111022_CM212028_Mortar.jpg,Magnets,Preco
3.8,8,P0068,P0068,4,Awareness Ribbon,Shaped,NA,2,2,#N/A,Magnets,Preco
5.5909,2.1298,P0069,P0069-P1503,14,Car shape (See also P1503),Shaped,NA,2,7,#N/A,Magnets,Preco
3.4181,4.4692,P0070,P0070,9,Custom Shape - Shield,Shaped,NA,3,3,https://media.magnetguys.com/diecut_proof/D__P0070__3.42-x-4.47_P0070_CMD17110627_Custom-Shield.jpg,Magnets,Preco
1.925,5.125,P0071,P0071,16,Pill Capsule Shape,Shaped,NA,8,2,https://media.magnetguys.com/diecut_proof/D__P0071__1.925-x-5.125_P0071_CM212158_Pill-Capsule-Shape.jpg,Magnets,Preco
2.25,3.5,P0072,P0072,21,Rectangle,Round,Round,3,7,https://media.magnetguys.com/diecut_proof/D__P0072__3.5-x-2.25_P0072_Round-corner.jpg,Magnets,Preco
1.5,3.5,P0073,P0073,30,Rectangle,Square,Square,15,2,https://media.magnetguys.com/diecut_proof/D__P0073__1.5-x-3.5_P0073_Square-corner.jpg,Magnets,Preco
2.4391,2.3488,P0074,P0074,28,Custom Shape - Typewriter,Die Cut,NA,4,7,https://media.magnetguys.com/diecut_proof/D__P0074__2.4391-x-2.3488_P0074_Typewriter.jpg,Magnets,Preco
2,2,P0075,P0075,40,Circle,Circle,NA,20,2,https://media.magnetguys.com/diecut_proof/D__P0075__2_P0075_Circle.jpg,Magnets,Preco
4.75,7,P0076,P0076-P0439,4,Picture Frame (See also P0439),Picture Frame,Square,2,2,#N/A,Magnets,Preco
5,7,P0077,P0077-P1173-P1174,4,Rectangle (See also P1173-P1174),Round,Round,2,2,#N/A,Magnets,Preco
4.18,5.43,P0078,P0078,8,Rectangle,Square,Square,4,2,#N/A,Magnets,Preco
4.25,3.5,P0079,P0079,12,House,Shaped,NA,6,2,#N/A,Magnets,Preco
3.75,6.12,P0080,P0080,6,House - Right,Shaped,NA,3,2,#N/A,Magnets,Preco
6,6,P0081,P0081,3,Rectangle,Shaped,Round,1,3,#N/A,Magnets,Preco
3.9,2.11,P0082,P0082,20,Custom (Chemical Chain),Shaped,NA,10,2,#N/A,Magnets,Preco
4.75,3.875,P0083,P0083,8,Real Estate House,Shaped,NA,4,2,#N/A,Magnets,Preco
4.125,1.875,P0084,P0084,20,Van Shape - Left,Shaped,NA,10,2,#N/A,Magnets,Preco
6,4,P0085,P0085,6,Custom Shape,Die Cut,NA,3,2,#N/A,Magnets,Preco
5.25,2.25,P0086,P0086,14,Van Shape,Shaped,NA,2,7,#N/A,Magnets,Preco
4.75,6.25,P0087,P0087,4,Rectangle,Square,Square,2,2,#N/A,Magnets,Preco
4.77,2.33,P0088,P0088,14,Custom Shape - Ship,Shaped,NA,2,7,#N/A,Magnets,Preco
3,3.375,P0089,P0089,15,Clover - 4 leaf,Shaped,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P0089__3-x-3.375_P0089_CM21190_Leaf-Clover.jpg,Magnets,Preco
3.5,8.5,P0090,P0090,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
4.5,1.87,P0091,P0091,20,Van,Shaped,NA,10,2,#N/A,Magnets,Preco
2,3,P0092,P0092-P0096,25,Oval (See also P0096 ),Oval,NA,5,5,https://media.magnetguys.com/diecut_proof/D__P0092-P0096__3-x-2_P0092-P0096_Oval.jpg,Magnets,Preco
3.5,3.88,P0093,P0093-P1202,12,Rectangle (P1202),Square,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0093-P1202__3.88-x-3.5_P0093-P1202_Square-corner_template.jpg,Magnets,Preco
4.5,6.5,P0094,P0094,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
10,7,P0095,P0095,2,Rectangle,Round,Round,1,2,#N/A,Magnets,Preco
3,2,P0096,P0092-P0096,25,Oval ( See also P0092 ),Oval,NA,5,5,https://media.magnetguys.com/diecut_proof/D__P0092-P0096__3-x-2_P0092-P0096_Oval.jpg,Magnets,Preco
3,3,P0097,P0561-P0097,15,Circle (See also P0561),Circle,NA,3,5,#N/A,Magnets,Preco
4,6.25,P0098,P0098-P0128,6,Rectangle (see also P0128),Round,Round,3,2,#N/A,Magnets,Preco
5.5,5.5,P0099,P0099,6,Square,Square,Square,2,3,#N/A,Magnets,Preco
8,4,P0100,P0100,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
NA,NA,P0101,P0101,-,Tooth Picture Frame,Picture Frame,NA,3,,#N/A,Magnets,Preco
5,5,P0102,P0102,6,Rectangle,Round,Round,2,3,#N/A,Magnets,Preco
2.25,4.25,P0103,P0103-P0108,16,Rectangle (See also P0108 ),Round,Round,8,2,https://media.magnetguys.com/diecut_proof/D__P0103-P0108__2.25-x-4.25_P0103-P0108_Round-corner.jpg,Magnets,Preco
5.875,7.25,P0104,P0104,3,Rectangle,Round,Round,1,3,#N/A,Magnets,Preco
4,5.25,P0105,P0105,8,Rectangle,Round,Round,4,2,#N/A,Magnets,Preco
4,5.25,P0106,P0106,8,Rectangle,Square,Square,4,2,#N/A,Magnets,Preco
4.5,5,P0107,P0107-P0115,6,Rectangle ( See also P0115 ),Round,Round,2,3,#N/A,Magnets,Preco
2.25,4.25,P0108,P0103-P0108,16,Rectangle (See also P0103 ),Round,Round,8,2,https://media.magnetguys.com/diecut_proof/D__P0103-P0108__2.25-x-4.25_P0103-P0108_Round-corner.jpg,Magnets,Preco
2,2.5,P0109,P0109-P0126,30,Rectangle (see also P0126),Round,Round,15,2,https://media.magnetguys.com/diecut_proof/D__P0109-P0126__2-x-2.5_P0109-P0126_Round-corner.jpg,Magnets,Preco
3,2,P0110,P0008-P0110,25,Rectangle(See also -P0008),Round,Round,5,5,https://media.magnetguys.com/diecut_proof/D__P0008-P0110__3-x-2_P0008-P0110_Round-corner.jpg,Magnets,Preco
3.5,3.88,P0111,P0111,12,Rectangle,Round,Round,6,2,#N/A,Magnets,Preco
3.5,3,P0112,P0010-P0112,15,Rectangle See also P0010,Round,Round,3,5,https://media.magnetguys.com/diecut_proof/D__P0010-P0112__3.5-x-3_P0010-P0112_Round-corner.jpg,Magnets,Preco
3.5,3,P0113,P0009-P0113,15,Rectangle See also P0009,Square,Square,3,5,https://media.magnetguys.com/diecut_proof/D__P0009-P0113__3.5-x-3_P0009-P0113_Square-corner.jpg,Magnets,Preco
3,3,P0114,P0036-P0114,15,Rectangle (See also P0036),Round,Round,3,5,https://media.magnetguys.com/diecut_proof/D__P0036-P0114__3-x-3_P0036-P0114_Round-corner.jpg,Magnets,Preco
4.5,5,P0115,P0107-P0115,6,Rectangle ( See also P0107 ),Round,Round,2,3,#N/A,Magnets,Preco
6,6.75,P0116,P0027-P0116,3,Rectangle ( See also P0027 ),Round,Round,1,3,#N/A,Magnets,Preco
3.5,6,P0117,P0016-P0117,9,Rectangle (See also P0016),Round,Round,3,3,#N/A,Magnets,Preco
6,4.25,P0118,P0118-P0145-P0267,6,Rectangle (See also P0145-P0267),Round,Round,3,2,#N/A,Magnets,Preco
3.5,4.5,P0119,P0119-P0140-P0751,9,Picture Frame (See also P0751-P0140),Picture Frame,Round,3,3,#N/A,Magnets,Preco
2.25,2.75,P0120,P0120-P0736,24,Real Estate Sold Sign -(See also -P0736),Shaped,NA,4,6,#N/A,Magnets,Preco
6.09,4.3448,P0121,P0121-P0215,6,Rectangle -(See also P0215),Die Cut,NA,3,2,#N/A,Magnets,Preco
5.25,5.25,P0122,P0122,6,Circle,Circle,NA,2,3,#N/A,Magnets,Preco
4,3,P0123,P0123,12,Oval,Oval,NA,6,2,#N/A,Magnets,Preco
1.25,4,P0124,P0124,32,Bandage,Shaped,NA,16,2,https://media.magnetguys.com/diecut_proof/D__P0124__4-x-1.25_P0124_Bandage-Shape.jpg,Magnets,Preco
2.25,3.5,P0125,P0125,21,Rectangle,Square,Square,3,7,https://media.magnetguys.com/diecut_proof/D__P0125__2.25-x-3.5_P0125_Square-corner.jpg,Magnets,Preco
2,2.5,P0126,P0109-P0126,30,Rectangle (see also P0109),Round,Round,15,2,https://media.magnetguys.com/diecut_proof/D__P0109-P0126__2-x-2.5_P0109-P0126_Round-corner.jpg,Magnets,Preco
8,4,P0127,P0127,4,Rectangle,Square,Square,2,2,#N/A,Magnets,Preco
4,6.25,P0128,P0098-P0128,6,Rectangle (see also P0098),Round,Round,3,2,#N/A,Magnets,Preco
4,7,P0129,P0033-P0129-P1216,6,Rectangle (see also P0033-P1216),Round,Round,3,2,#N/A,Magnets,Preco
5,5,P0130,P0059-P0130,6,Circle (see also P0059),Circle,NA,2,3,#N/A,Magnets,Preco
6,4.75,P0131,P0131,6,House,Shaped,NA,2,3,#N/A,Magnets,Preco
4,5,P0132,P0132-P0188-P0193,8,"Rectangle (See also P0188, P0193)",Square,Square,4,2,#N/A,Magnets,Preco
4.54,1.69,P0133,P0133,18,Police Car,Shaped,NA,6,3,#N/A,Magnets,Preco
3.5,3,P0134,P0134-P0823,15,Picture Frame (See also P0823 ) Oval,Picture Frame,Round,3,5,https://media.magnetguys.com/diecut_proof/D__P0134-P0823__3.5-x-3_P0134-P0823_Picture-Frame---Oval.jpg,Magnets,Preco
4.82,2.17,P0135,P0135,14,Religious Fish,Shaped,NA,2,7,#N/A,Magnets,Preco
3,2.25,P0136,P0136,35,Triangle,Shaped,NA,5,7,https://media.magnetguys.com/diecut_proof/D__P0136__3-x-2.25_P0136_CM21864_Triangle-Shape.jpg,Magnets,Preco
3.5,2.5,P0137,P0137-P0227,18,House (see also P0227 ),Shaped,NA,9,2,https://media.magnetguys.com/diecut_proof/D__P0137-P0227__3.5-x-2.5_P0137-P0227_CM212183_House-Shape.jpg,Magnets,Preco
4,6,P0138,P0138-P1933,6,Picture Frame (See also P1933),Picture Frame,Square,3,2,#N/A,Magnets,Preco
3.5,7,P0139,P0139,6,Rectangle,Round,Round,3,2,#N/A,Magnets,Preco
3.5,4.5,P0140,P0119-P0140-P0751,9,Picture Frame (See also P0119-P0751),Picture Frame,Round,3,3,#N/A,Magnets,Preco
5,4,P0141,P0141,8,Oval,Oval,NA,4,2,#N/A,Magnets,Preco
4.88,2.12,P0142,P0142,12,School Bus,Shaped,NA,4,3,#N/A,Magnets,Preco
NA,NA,P0143,P0143,-,Truck Sample Kit,Shaped,NA,2,,#N/A,Magnets,Preco
7.5,5.5,P0144,P0144,4,Picture Frame,Picture Frame,Square,2,2,#N/A,Magnets,Preco
6,4.25,P0145,P0118-P0145-P0267,6,Rectangle (See also P0118-P0267),Round,Round,3,2,#N/A,Magnets,Preco
2.25,2.75,P0146,P0146,-,Rectangle,Square,Square,3,,#N/A,Magnets,Preco
3,10,P0147,P0147,5,Rectangle,Square,Square,1,5,https://media.magnetguys.com/diecut_proof/D__P0147__3-x-10_P0147_Square-Corner.jpg,Magnets,Preco
3.817,7.1003,P0148,P0148,6,Custom shape - Shield,Shaped,NA,3,2,#N/A,Magnets,Preco
5,6.5,P0149,P0149,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
3.5,3,P0150,P0150,15,Building Shape,Shaped,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P0150__P0150_CM41949_3.5-x-3_Building-Shape.jpg,Magnets,Preco
6,6,P0151,P1418-P0151,3,Square ( See also P1418 ),Square,Square,1,3,#N/A,Magnets,Preco
5.5,8,P0152,P0152-P0259-P1213,4,Rectangle(See also P0259-P1213),Round,Round,2,2,#N/A,Magnets,Preco
11,8.5,P0153,P0153,2,Rectangle,Square,Square,1,2,#N/A,Magnets,Preco
1.5,3,P0154,P0154,30,Rectangle,Square,Square,15,2,https://media.magnetguys.com/diecut_proof/D__P0154__3-x-1.5_P0154_Square-corner.jpg,Magnets,Preco
4,1,P0155,P0155,36,Pencil Shape,Shaped,NA,18,2,#N/A,Magnets,Preco
3,7,P0156,P0156,6,Rectanlge,Square,Square,3,2,https://media.magnetguys.com/diecut_proof/D__P0156__3-x-7_P0156_Square-corner.jpg,Magnets,Preco
2,5,P0157,P0157,15,Rectangle,Square,Square,5,3,https://media.magnetguys.com/diecut_proof/D__P0157__2-x-5_P0157_Square-corner.jpg,Magnets,Preco
5,5,P0158,P0158,6,Rectangle,Square,Square,2,3,#N/A,Magnets,Preco
3.25,5,P0159,P0159,9,Rectangle,Square,Square,3,3,https://media.magnetguys.com/diecut_proof/D__P0159__3.25-x-5_P0159_Square-corner.jpg,Magnets,Preco
3.7644,1.667,P0160,P0160-P0197,20,Promotional Logo Van Shaped (P0197) Left,Shaped,NA,10,2,#N/A,Magnets,Preco
5,7,P0161,P0161-P0189,4,Rectangle (See also P0189),Square,Square,2,2,#N/A,Magnets,Preco
5,2.25,P0162,P0162,14,Rectangle,Square,Square,2,7,https://media.magnetguys.com/diecut_proof/D__P0162__2.25-x-5_P0162_square-corner_template.jpg,Magnets,Preco
5.5,4,P0163,P0163,6,Rectangle,Round,Round,2,3,#N/A,Magnets,Preco
5.5,3,P0164,P0164,9,Rectangle,Round,Round,3,3,https://media.magnetguys.com/diecut_proof/D__P0164__5.5-x-3_P0164_Round-corner.jpg,Magnets,Preco
6.75,8.25,P0165,P0165,2,Rectangle,Square,Square,1,2,#N/A,Magnets,Preco
7,5,P0166,P0166,4,Oval,Oval,NA,2,2,#N/A,Magnets,Preco
2.5,2.81,P0167,P0167,18,Butterfly,Shaped,NA,9,2,#N/A,Magnets,Preco
2.85,1.11,P0168,P0168,54,Truck,Shaped,NA,18,3,#N/A,Magnets,Preco
5.75,5.75,P0169,P0169-P0200,4,Circle (See also P0200),Circle,NA,2,2,#N/A,Magnets,Preco
4.75,2.213,P0170,P0170-P0187,14,Van (Sprinter) (See also P0187),Shaped,NA,2,7,#N/A,Magnets,Preco
2.91,4.94,P0171,P0171,10,Rectangle,Square,Square,2,5,https://media.magnetguys.com/diecut_proof/D__P0171__2.91-x-4.94_P0171_square-corner.jpg,Magnets,Preco
4.53,6.06,P0172,P0172,6,Christmas Tree,Shaped,NA,3,2,#N/A,Magnets,Preco
3.25,1.65,P0173,P0173,27,Truck,Shaped,NA,3,9,https://media.magnetguys.com/diecut_proof/D__P0173__3.25-x-1.65_P0173_CM218142_Truck-Shaped.jpg,Magnets,Preco
6.5,4.25,P0174,P0174,6,Oval,Oval,NA,3,2,#N/A,Magnets,Preco
6.5,6.24,P0175,P0175,2,Paw,Shaped,NA,1,2,#N/A,Magnets,Preco
2,3.5,P0176,P0003-P0176,25,Business Card (See also P0003),Round,Round,5,5,https://media.magnetguys.com/diecut_proof/D__P0003-P0176__3.5-x-2_P0003-P0176_Round-corner.jpg,Magnets,Preco
4,6,P0177,P0031-P0177,6,Rectangle (See also P0031),Round,Round,3,2,#N/A,Magnets,Preco
4,6,P0178,P0029-P0178-P1374,6,Oval (See also P0029-P1374),Oval,NA,2,3,#N/A,Magnets,Preco
2,2.75,P0179,P0179,30,Rectangle,Square,Square,15,2,https://media.magnetguys.com/diecut_proof/D__P0179__2-x-2.75_P0179_Square-corner.jpg,Magnets,Preco
2,3.5,P0180,P0180-P0500,20,Penguin (See also P0500),Shaped,NA,10,2,#N/A,Magnets,Preco
3.5,8,P0181,P0181,6,Rectangle,Round,Round,3,2,#N/A,Magnets,Preco
2.25,3,P0182,P0182,20,Oval,Oval,NA,4,5,https://media.magnetguys.com/diecut_proof/D__P0182__3-x-2.25_P0182_Oval.jpg,Magnets,Preco
1.5,8,P0183,P0183,12,Rectangle,Square,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0183__8-x-1.5_P0183_Square-Corner.jpg,Magnets,Preco
3,2.25,P0184,P0184,21,House,Shaped,NA,3,7,https://media.magnetguys.com/diecut_proof/D__P0184__3-x-2.25_P0184_CMD17112043_House.jpg,Magnets,Preco
3,4,P0185,P0043-P1045-P0185,12,Rectangle (See also P0043-P1045),Square,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0043-P1045-P0185__3-x-4_P0043-P1045-P0185_Square-corner.jpg,Magnets,Preco
5.25,8,P0186,P0186,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
4.75,2.213,P0187,P0170-P0187,14,Van (Sprinter) (See also P0170),Shaped,NA,2,7,#N/A,Magnets,Preco
4,5,P0188,P0132-P0188-P0193,8,Rectangle (See also P0132-P0193),Square,Square,4,2,#N/A,Magnets,Preco
5,7,P0189,P0161-P0189,4,Rectangle (See also P0161),Square,Square,2,2,#N/A,Magnets,Preco
4,1.9,P0190,P0190,20,Train,Shaped,NA,10,2,#N/A,Magnets,Preco
4.336,1.8399,P0191,P0191,16,Car,Shaped,NA,8,2,#N/A,Magnets,Preco
3.5,2.5,P0192,P0192,18,House with Chimney - Right,Shaped,NA,9,2,https://media.magnetguys.com/diecut_proof/D__P0192__3.5-x-2.5_P0192_CM21374_House-with-Chimney-Right.jpg,Magnets,Preco
4,5,P0193,P0132-P0188-P0193,8,Rectangle (See also P0132-P0188),Square,Square,4,2,#N/A,Magnets,Preco
11,8.5,P0194,P0194,2,Rectangle,Round,Round,1,2,#N/A,Magnets,Preco
9,4,P0195,P0195-P0212,4,Rectangle - See also P0212,Round,Round,2,2,#N/A,Magnets,Preco
2.5,2.5,P0196,P0196,24,Circle,Circle,NA,12,2,https://media.magnetguys.com/diecut_proof/D__P0196__2.5_P0196_Circle.jpg,Magnets,Preco
3.7644,1.667,P0197,P0160-P0197,20,Promotional Logo Van Shaped (P0160) Left,Shaped,NA,10,2,#N/A,Magnets,Preco
2,2,P0198,P0198-P1597-P1598,40,Rectangle (see also P1597-P1598),Round,Round,20,2,https://media.magnetguys.com/diecut_proof/D__P0198-P1597-P1598__2-x-2_P0198-P1597-P1598_Round-corner.jpg,Magnets,Preco
3.5,2.5,P0199,P0199-P1252,18,Oval (See also P1252 ),Oval,NA,9,2,https://media.magnetguys.com/diecut_proof/D__P0199-P1252__3.5-x-2.5_P0199-P1252_Oval.jpg,Magnets,Preco
5.75,5.75,P0200,P0169-P0200,4,Circle (See also P0169),Circle,NA,2,2,#N/A,Magnets,Preco
3,8,P0201,P0201,6,Rectangle,,Round,3,2,https://media.magnetguys.com/diecut_proof/D__P0201__8-x-3_P0201_Round-corner.jpg,Magnets,Preco
5.0852,4.6906,P0202,P0202,6,Paw Print,,NA,2,3,#N/A,Magnets,Preco
4.5,6.75,P0203,P0203,4,Rectangle,,Round,2,2,#N/A,Magnets,Preco
3.37,4.25,P0204,P0204,12,Square,,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0204__3.37-x-4.25_P0204_Square-corner.jpg,Magnets,Preco
1,3,P0205,P0205,32,Rectangle,,Square,16,2,#N/A,Magnets,Preco
